team_number,name,nickname,location,website
81,Honeywell/Freeport School District 145/Trez Turning &amp; Freeport High School &amp; Aquin High School,MetalHeads,"Freeport, IL, USA",http://www.metalheads81.com
84,DuPont/NE PA Tech Prep Consortium &amp; Athens Area School District &amp; Northeast Bradford School District &amp; Towanda Area School District &amp; Troy Area School District,Chuck 84,"Towanda, PA, USA",http://www.chuck84.org/
85,Herman Miller Foundation / System Components, Inc / Trans-matic / NUVAR Incorporated / ITW  Drawform / Broadview Product Development / Request Foods / Lakeshore Cutting / Mead Johnson Nutritionals / ODL / Gentex / Midway Machine Techlologies / Town &amp; Country Group / Plascore / Consumers Energy &amp; Zeeland West High School &amp; Zeeland East High School,B.O.B. (Built on Brains),"Zeeland, MI, USA",https://sites.google.com/a/zps.org/bob-85/
86,JEA/Johnson &amp; Johnson VISTAKON/jcpenney &amp; Stanton College Preparatory School,Team Resistance,"Jacksonville, FL, USA",http://www.teamresistance.org
87,Lockheed Martin &amp; Rancocas Valley Regional High School,Red Devils,"Mount Holly, NJ, USA",http://www.rvr87.org/
88,DePuy / Harpak-ULMA / NASA &amp; Bridgewater Raynam Regional High School,TJ(Squared),"Bridgewater, MA, USA",http://www.tj2.org
89,,,"PA, USA",None
90,None,None,"None",None
92,MPC Products &amp; Adlai E. Stevenson High School,RoboPats,"Lincolnshire, IL, USA",None
93,Plexus Corp. &amp; Appleton Area School District,N.E.W. Apple Corps Robotics,"Appleton, WI, USA",http://www.nacteam93.com
94,Lear Corporation / TRW Automotive &amp; Southfield High School Engineering Academy,The  Technojays,"Southfield, MI, USA",http://www.Technojays.com
95,CRREL &amp; Lebanon High School,Grasshoppers,"Lebanon, NH, USA",http://www.r95.org
96,PUTNAM VOCATIONAL,JESTER,"Springfield, MA, USA",http://www.team96jester.org
97,Akamai Technologies / Vecna Technologies, Inc / Draper Laboratories &amp; Cambridge Rindge and Latin High School,Bionic Beef,"Cambridge, MA, USA",http://www.crlsteam97.com
98,None,None,"None",None
100,Pentair / TE Connectivity Foundation / Google / Brin Wojcicki Foundation / Sequoia Union High School District / SRI International / Intuitive Surgical / Carlmont Academic Foundation / Tate Family / Woodside High School Foundation / SolidWorks &amp; Woodside High School &amp; Carlmont High School &amp; Sequoia High School,The WildHats,"Woodside, CA, USA",http://www.team100.org
101,Saint Patrick High School,Striker,"Chicago, IL, USA",http://striker101.com/
102,Ortho Clinical Diagnostics/Voltaix/JCPL/Johnson &amp; Johnson &amp; Somerville, NJ,The Gearheads,"Somerville, NJ, USA",http://www.team102.org
103,Amplifier Research/BAE Systems/Hot Chalk/Lutron Electronics, Inc/Day Tool and Manufacturing Incorporated/Harro Hoflinger/PHTool/Hillman Brass and Copper/Kiwanis Club of Riegelsville/Tyndale &amp; Palisades High School,Cybersonics,"Kintnersville, PA, USA",http://www.cybersonics.org/cybersonics/
104,MEI &amp; WCASD High Schools,Team Universal,"West Chester, PA, USA",None
105,,,"CHARLTON, MA, USA",None
106,,,"phila, PA, USA",None
107,World Class Prototypes/Johnson Controls/Metal Flow/Agritek/Twisthink &amp; Holland Christian High School,Team R.O.B.O.T.I.C.S.,"Holland, MI, USA",https://sites.google.com/site/firstrobotics107
108,Motorola Solutions INC/Broward County Public Schools &amp; Dillard High School, Fort Lauderdale Florida,SigmaC@T,"Ft. Lauderdale, FL, USA",http://dillardhigh.com/main/sigmacats/
109,,,"Libertyville, IL, USA",None
111,Motorola Solutions Foundation/Methode Electronics/Numerical Precision, Inc./Endres Machining Innovations/Nu-Way &amp; Rolling Meadows High School &amp; Wheeling High School &amp; Prospect High School,WildStang,"Schaumburg, IL, USA",http://www.wildstang.org/
112,,,"Arlington Heights, IL, USA",None
